          39   3.243210000000000E-004
   5.430938122681617E-001   9.287586364600987E-002   9.441459327752788E-001
  -4.539035880464095E-002   4.945421386970374E-002   9.031868845409531E-001
  -1.894771521634751E-001   3.439929193181107E-002   8.874276366565270E-001
  -3.812150494690382E-001   1.048466305320089E-002   8.624284957009506E-001
  -6.061562509430444E-001  -2.419505692802745E-002   8.287195251268257E-001
  -6.829938816889687E-001  -3.781752001659522E-002   8.167239018485656E-001
  -8.016382136067173E-001  -6.066111129405489E-002   7.982750232460405E-001
  -9.652033706867356E-001  -9.569093895993307E-002   7.736235266963637E-001
       -1.026683481696969  -1.098851278672442E-001   7.646889245749015E-001
       -1.126431528707247  -1.340650174412573E-001   7.506040476450209E-001
       -1.205812089374693  -1.542962038165177E-001   7.397461957137259E-001
       -1.271797772202594  -1.717616120779890E-001   7.309413387820144E-001
       -1.377685232011957  -2.009845799788509E-001   7.171933169146533E-001
       -1.421582200949089  -2.135219840824489E-001   7.116196503385566E-001
       -1.496996013924742  -2.356269561147291E-001   7.021998914559456E-001
       -1.560303074146496  -2.547268778793952E-001   6.944320780317003E-001
       -1.614859724883456  -2.715785102671151E-001   6.878313293288437E-001
       -1.705533533190427  -3.003757632543164E-001   6.770335869626464E-001
       -1.744096077230701  -3.129179162696337E-001   6.725009495699600E-001
       -1.811470386060286  -3.352480351311720E-001   6.646583539757204E-001
       -1.868978946827168  -3.547240739921880E-001   6.580341330581851E-001
       -1.919130126272403  -3.720180637851542E-001   6.523043368720265E-001
       -2.003488936461590  -4.017527714754109E-001   6.427519577633355E-001
       -2.039685940509077  -4.147574723164438E-001   6.386816494055674E-001
       -2.103303588379521  -4.379688515295405E-001   6.315622718998092E-001
       -2.157925177655234  -4.582563581480509E-001   6.254785771582277E-001
       -2.182584956987934  -4.675229655909546E-001   6.227391307544630E-001
       -2.194346672903569  -4.719661192416621E-001   6.214338752038545E-001
       -2.200095344115649  -4.741432214896595E-001   6.207962123317073E-001
       -2.200095344115649  -4.741432214896595E-001   6.207962123317073E-001
       -2.282001355319182  -5.055444193383645E-001   6.117290407769916E-001
       -2.349488670614278  -5.319235811399381E-001   6.042811815306115E-001
       -2.407000401461724  -5.546948259638265E-001   5.979594457041368E-001
       -2.502672099265094  -5.926761618604135E-001   5.876070629741963E-001
       -2.584469171095761  -6.237593152377547E-001   5.792996032789788E-001
       -2.664914157740569  -6.502489946104211E-001   5.723543078486174E-001
       -2.759124943958903  -6.736358921604654E-001   5.663820602493942E-001
       -3.091265453523965  -7.157294772086717E-001   5.564665264755480E-001
       -3.998916262811199  -7.607339267129121E-001   5.484032370927414E-001
