8.100000e-007
200
2.647000e-010 0.000000e+000
-1.372822 0.964120 0.000000
-1.329843 0.962789 0.000000
-1.286865 0.961453 0.000000
-1.243886 0.960067 0.000000
-1.200908 0.958622 0.000000
-1.157929 0.957072 0.000000
-1.114951 0.955454 0.000000
-1.071972 0.953779 0.000000
-1.028994 0.952078 0.000000
-0.986015 0.949493 0.000000
-0.943036 0.947459 0.000000
-0.900058 0.945287 0.000000
-0.857079 0.942944 0.000000
-0.814101 0.940407 0.000000
-0.771122 0.937681 0.000000
-0.728144 0.934823 0.000000
-0.685165 0.932039 0.000000
-0.642187 0.929298 0.000000
-0.599208 0.926502 0.000000
-0.556230 0.923669 0.000000
-0.513251 0.920727 0.000000
-0.470273 0.917701 0.000000
-0.427294 0.914582 0.000000
-0.384316 0.911355 0.000000
-0.341337 0.908013 0.000000
-0.298359 0.904560 0.000000
-0.255380 0.900995 0.000000
-0.212402 0.897320 0.000000
-0.169423 0.893543 0.000000
-0.126445 0.889668 0.000000
-0.083466 0.885702 0.000000
-0.040488 0.881654 0.000000
0.002491 0.877531 0.000000
0.045469 0.873343 0.000000
0.088448 0.869100 0.000000
0.131426 0.864812 0.000000
0.174405 0.860490 0.000000
0.217383 0.856144 0.000000
0.260362 0.851783 0.000000
0.303340 0.847416 0.000000
0.346319 0.843052 0.000000
0.389297 0.838698 0.000000
0.432276 0.834363 0.000000
0.475254 0.830055 0.000000
0.518233 0.825775 0.000000
0.561211 0.821529 0.000000
0.604190 0.817319 0.000000
0.647168 0.813149 0.000000
0.690147 0.809022 0.000000
0.733125 0.804939 0.000000
0.776104 0.800901 0.000000
0.819082 0.796907 0.000000
0.862061 0.792958 0.000000
0.905039 0.789054 0.000000
0.948018 0.785196 0.000000
0.990996 0.781382 0.000000
1.033975 0.777614 0.000000
1.076953 0.773889 0.000000
1.119932 0.770210 0.000000
1.162910 0.766574 0.000000
1.205889 0.762979 0.000000
1.248867 0.759424 0.000000
1.291846 0.755903 0.000000
1.334824 0.752413 0.000000
1.377803 0.748953 0.000000
1.420781 0.745524 0.000000
1.463760 0.742128 0.000000
1.506738 0.738767 0.000000
1.549717 0.735438 0.000000
1.592695 0.732138 0.000000
1.635674 0.728867 0.000000
1.678652 0.725623 0.000000
1.721631 0.722408 0.000000
1.764609 0.719222 0.000000
1.807588 0.716063 0.000000
1.850566 0.712930 0.000000
1.893545 0.709822 0.000000
1.936523 0.706738 0.000000
1.979502 0.703679 0.000000
2.022480 0.700646 0.000000
2.065459 0.697643 0.000000
2.108437 0.694676 0.000000
2.151416 0.691753 0.000000
2.194394 0.688884 0.000000
2.237373 0.686077 0.000000
2.280351 0.683348 0.000000
2.323330 0.680712 0.000000
2.366308 0.678189 0.000000
2.409287 0.675799 0.000000
2.452265 0.673564 0.000000
2.495244 0.671505 0.000000
2.538222 0.669636 0.000000
2.581201 0.667966 0.000000
2.624179 0.666501 0.000000
2.667158 0.665238 0.000000
2.710136 0.664165 0.000000
2.753115 0.663267 0.000000
2.796093 0.662516 0.000000
2.839072 0.661894 0.000000
2.882050 0.661375 0.000000
2.925029 0.660937 0.000000
2.968007 0.660560 0.000000
3.010986 0.660226 0.000000
3.053964 0.659930 0.000000
3.096943 0.659661 0.000000
3.139921 0.659419 0.000000
3.182900 0.659200 0.000000
3.225878 0.658999 0.000000
3.268857 0.658815 0.000000
3.311835 0.658645 0.000000
3.354814 0.658492 0.000000
3.397792 0.658352 0.000000
3.440771 0.658224 0.000000
3.483749 0.658107 0.000000
3.526728 0.658001 0.000000
3.569706 0.657911 0.000000
3.612685 0.657838 0.000000
3.655663 0.657784 0.000000
3.698642 0.657741 0.000000
3.741620 0.657699 0.000000
3.784599 0.657643 0.000000
3.827577 0.657584 0.000000
3.870556 0.657530 0.000000
3.913534 0.657475 0.000000
3.956513 0.657413 0.000000
3.999491 0.657326 0.000000
4.042470 0.657244 0.000000
4.085448 0.657176 0.000000
4.128427 0.657128 0.000000
4.171405 0.657098 0.000000
4.214384 0.657079 0.000000
4.257362 0.657051 0.000000
4.300341 0.657018 0.000000
4.343319 0.656993 0.000000
4.386298 0.656973 0.000000
4.429276 0.656953 0.000000
4.472255 0.656900 0.000000
4.515233 0.656803 0.000000
4.558212 0.656658 0.000000
4.601190 0.656485 0.000000
4.644169 0.656305 0.000000
4.687147 0.656130 0.000000
4.730126 0.655973 0.000000
4.773104 0.655846 0.000000
4.816083 0.655757 0.000000
4.859061 0.655715 0.000000
4.902040 0.655727 0.000000
4.945018 0.655763 0.000000
4.987997 0.655799 0.000000
5.030975 0.655840 0.000000
5.073954 0.655873 0.000000
5.116932 0.655899 0.000000
5.159911 0.655916 0.000000
5.202889 0.655924 0.000000
5.245868 0.655935 0.000000
5.288846 0.655953 0.000000
5.331825 0.655981 0.000000
