         169   3.165432000000000E-004
  -1.384773451800868E-001   8.984373225098259E-002   9.512634841662072E-001
  -4.010328732868154E-001   7.579664247734828E-002   9.414083057703192E-001
  -7.323820937005098E-001   5.373669209622302E-002   9.244985319469367E-001
       -1.094093819377097   2.203651146833108E-002   8.989461145947251E-001
       -1.211120509158344   9.637492710265040E-003   8.890790142586595E-001
       -1.385835387348611  -1.111553164216401E-002   8.732112723426296E-001
       -1.616401957342909  -4.289487405718125E-002   8.510371073853898E-001
       -1.700515080685053  -5.577182300249316E-002   8.428292695088360E-001
       -1.834609254413763  -7.772576822136024E-002   8.297964434089886E-001
       -1.939576190100882  -9.612423471771017E-002   8.197106450875600E-001
       -2.099166125605040  -1.261059025174660E-001   8.046547826309726E-001
       -2.315669966967000  -1.705601842970651E-001   7.848423116543599E-001
       -2.315669966967000  -1.705601842970651E-001   7.848423116543599E-001
       -2.396244677137738  -1.881876693658740E-001   7.776567365921889E-001
       -2.465491121300425  -2.037963269965224E-001   7.715642252203331E-001
       -2.526224351514474  -2.178312242420431E-001   7.662843476081779E-001
       -2.629106678881398  -2.423318654401219E-001   7.574773826283995E-001
       -2.714322622527038  -2.633053151200849E-001   7.503148287819673E-001
       -2.787095296645770  -2.816956349573701E-001   7.442938718385855E-001
       -2.850623097016747  -2.981054257267678E-001   7.391102469621249E-001
       -2.907007988336809  -3.129442852593062E-001   7.345660496502342E-001
       -3.003767578639164  -3.390004901611274E-001   7.268913375195740E-001
       -3.084930070325751  -3.614240849083996E-001   7.205723806813833E-001
       -3.154857986564882  -3.811519159111091E-001   7.152128512833136E-001
       -3.216301200786408  -3.987933584018549E-001   7.105664585772814E-001
       -3.271106123379577  -4.147683410727200E-001   7.064699858029042E-001
       -3.320573197728996  -4.293792146577008E-001   7.028098754419447E-001
       -3.407062905653558  -4.553573128447145E-001   6.964913013389954E-001
       -3.480967958856760  -4.779854873281871E-001   6.911681645055915E-001
       -3.545488874280049  -4.980603090986880E-001   6.865733108650484E-001
       -3.602738439177454  -5.161198709813036E-001   6.825334964756212E-001
       -3.654185609286124  -5.325456369147563E-001   6.789301928842938E-001
       -3.743657008462965  -5.615510393958162E-001   6.727171338033957E-001
       -3.819657389699505  -5.866241454989267E-001   6.674841075904988E-001
       -3.885686811756657  -6.087297064786069E-001   6.629636803513825E-001
