8.100000e-007
121
2.538600e-010 8.579999e-005
-10.000000 0.677539 0.512821
-9.900000 0.684236 0.536131
-9.800000 0.688175 0.536131
-9.700000 0.689356 0.536131
-9.600000 0.689750 0.536131
-9.500000 0.689750 0.536131
-9.400000 0.690144 0.547786
-9.300000 0.690144 0.536131
-9.200000 0.690144 0.536131
-9.100000 0.690144 0.536131
-9.000000 0.690144 0.536131
-8.900000 0.690144 0.536131
-8.800000 0.690144 0.536131
-8.700000 0.690144 0.536131
-8.600000 0.690144 0.536131
-8.500000 0.690144 0.536131
-8.400000 0.690144 0.536131
-8.300000 0.690144 0.536131
-8.200000 0.690144 0.536131
-8.100000 0.690144 0.536131
-8.000000 0.690144 0.536131
-7.900000 0.690144 0.547786
-7.800000 0.690144 0.536131
-7.700000 0.690144 0.536131
-7.600000 0.690144 0.536131
-7.500000 0.690144 0.536131
-7.400000 0.690144 0.536131
-7.300000 0.690144 0.536131
-7.200000 0.690144 0.536131
-7.100000 0.690144 0.536131
-7.000000 0.690144 0.536131
-6.900000 0.690144 0.536131
-6.800000 0.690144 0.536131
-6.700000 0.690144 0.536131
-6.600000 0.690144 0.547786
-6.500000 0.690144 0.536131
-6.400000 0.690144 0.536131
-6.300000 0.690144 0.536131
-6.200000 0.690538 0.536131
-6.100000 0.690538 0.536131
-6.000000 0.690144 0.547786
-5.900000 0.690538 0.536131
-5.800000 0.690538 0.536131
-5.700000 0.690538 0.547786
-5.600000 0.690932 0.536131
-5.500000 0.690932 0.536131
-5.400000 0.690932 0.547786
-5.300000 0.690932 0.536131
-5.200000 0.691326 0.547786
-5.100000 0.691326 0.547786
-5.000000 0.691326 0.547786
-4.900000 0.691720 0.547786
-4.800000 0.691720 0.547786
-4.700000 0.692114 0.536131
-4.600000 0.692114 0.547786
-4.500000 0.692508 0.547786
-4.400000 0.692902 0.547786
-4.300000 0.693296 0.547786
-4.200000 0.693690 0.547786
-4.100000 0.694477 0.547786
-4.000000 0.694871 0.547786
-3.900000 0.696053 0.547786
-3.800000 0.697235 0.547786
-3.700000 0.698417 0.559441
-3.600000 0.700780 0.547786
-3.500000 0.703537 0.559441
-3.400000 0.707871 0.559441
-3.300000 0.713779 0.571096
-3.200000 0.720870 0.582751
-3.100000 0.727960 0.594406
-3.000000 0.735445 0.606061
-2.900000 0.742929 0.606061
-2.800000 0.748444 0.582751
-2.700000 0.756322 0.466201
-2.600000 0.764201 0.582751
-2.500000 0.772079 0.582751
-2.400000 0.779958 0.582751
-2.300000 0.791775 0.582751
-2.200000 0.795714 0.582751
-2.100000 0.803593 0.699301
-2.000000 0.811471 0.699301
-1.900000 0.819349 0.699301
-1.800000 0.831167 0.699301
-1.700000 0.839045 0.699301
-1.599999 0.846924 0.699301
-1.500000 0.854802 0.815851
-1.400000 0.862680 0.699301
-1.300000 0.874498 0.815851
-1.200000 0.882376 0.815851
-1.099999 0.886315 0.815851
-1.000000 0.898133 0.815851
-0.900000 0.906011 0.815851
-0.800000 0.913890 0.815851
-0.700000 0.921768 0.932401
-0.599999 0.925707 0.932401
-0.500000 0.933585 0.815851
-0.400000 0.941464 0.932401
-0.300000 0.945403 0.932401
-0.200000 0.953281 0.932401
-0.099999 0.957221 0.932401
0.000000 0.961160 0.932401
0.100000 0.965099 0.932401
0.200000 0.969038 0.932401
0.300000 0.972977 1.048951
0.400001 0.976916 1.048951
0.500000 0.980856 1.048951
0.600000 0.980856 0.932401
0.700000 0.984795 0.932401
0.800000 0.984795 1.048951
0.900001 0.988734 1.048951
1.000000 0.988734 1.048951
1.100000 0.992673 1.048951
1.200000 0.992673 1.048951
1.300000 0.992673 1.048951
1.400001 0.996612 0.932401
1.500000 0.996612 1.048951
1.600000 0.996612 1.048951
1.700000 0.996612 1.048951
1.800000 0.996612 1.048951
1.900001 1.000551 1.048951
2.000000 1.000551 1.048951
