8.100000e-007
121
2.538200e-010 8.560000e-005
2.000000 1.000709 0.934580
1.900000 1.000709 1.051402
1.800000 1.000709 1.051402
1.700000 1.000709 1.051402
1.600000 0.996769 1.051402
1.500000 0.996769 0.934580
1.400000 0.996769 1.051402
1.300000 0.992830 1.051402
1.200000 0.992830 1.051402
1.100000 0.992830 0.934580
1.000000 0.988890 1.051402
0.900000 0.988890 1.051402
0.800000 0.984950 0.934580
0.700000 0.984950 0.934580
0.600000 0.981010 1.051402
0.500000 0.981010 1.051402
0.400000 0.977070 0.934580
0.300000 0.973131 0.934580
0.200000 0.969191 0.934580
0.100000 0.965251 0.934580
0.000000 0.961311 0.934580
-0.100000 0.957371 0.934580
-0.200000 0.953431 0.934580
-0.300000 0.945552 0.934580
-0.400000 0.941612 0.934580
-0.500000 0.933733 0.934580
-0.600000 0.925853 0.817757
-0.700000 0.921913 0.817757
-0.800000 0.914034 0.817757
-0.900000 0.906154 0.817757
-1.000000 0.898274 0.817757
-1.100000 0.886455 0.817757
-1.200000 0.882515 0.817757
-1.300000 0.874636 0.817757
-1.400000 0.862816 0.817757
-1.500000 0.854936 0.700935
-1.600000 0.847057 0.700935
-1.700000 0.839177 0.700935
-1.800000 0.827358 0.700935
-1.900000 0.819478 0.700935
-2.000000 0.811599 0.700935
-2.100000 0.803719 0.700935
-2.200000 0.791900 0.584112
-2.300000 0.787960 0.584112
-2.400000 0.780080 0.584112
-2.500000 0.772201 0.584112
-2.600000 0.764321 0.584112
-2.700000 0.756442 0.584112
-2.800000 0.748562 0.584112
-2.900000 0.740682 0.584112
-3.000000 0.732803 0.467290
-3.100000 0.724923 0.584112
-3.200000 0.717044 0.467290
-3.300000 0.711528 0.549065
-3.400000 0.704042 0.537383
-3.500000 0.696557 0.525701
-3.600000 0.689071 0.514019
-3.700000 0.681585 0.502337
-3.800000 0.674100 0.490654
-3.900000 0.666614 0.478972
-4.000000 0.658735 0.467290
-4.100000 0.651249 0.455608
-4.200000 0.643369 0.455608
-4.300000 0.635096 0.443925
-4.400000 0.626428 0.432243
-4.500000 0.618155 0.420561
-4.600000 0.609093 0.408879
-4.700000 0.600031 0.397196
-4.800000 0.590576 0.385514
-4.900000 0.580727 0.362150
-5.000000 0.570877 0.362150
-5.100000 0.560239 0.350467
-5.200000 0.548814 0.338785
-5.300000 0.537389 0.315421
-5.400000 0.524781 0.303738
-5.500000 0.511780 0.292056
-5.600000 0.497597 0.268692
-5.700000 0.483019 0.268692
-5.800000 0.467654 0.245327
-5.900000 0.451895 0.221963
-6.000000 0.435348 0.210280
-6.100000 0.418801 0.198598
-6.200000 0.402254 0.175234
-6.300000 0.386100 0.163551
-6.400001 0.370735 0.151869
-6.500000 0.356552 0.140187
-6.600000 0.343551 0.128505
-6.700000 0.331337 0.128505
-6.800000 0.320306 0.116822
-6.900001 0.310062 0.105140
-7.000000 0.300607 0.093458
-7.100000 0.291939 0.093458
-7.200000 0.284454 0.093458
-7.300000 0.276968 0.081776
-7.400001 0.270270 0.081776
-7.500000 0.263967 0.081776
-7.600000 0.258057 0.070093
-7.700000 0.252541 0.070093
-7.800000 0.247419 0.058411
-7.900001 0.242692 0.070093
-8.000000 0.237964 0.058411
-8.100000 0.233630 0.058411
-8.200000 0.229690 0.058411
-8.300000 0.225751 0.046729
-8.400001 0.221811 0.046729
-8.500000 0.218659 0.046729
-8.600000 0.215113 0.046729
-8.700000 0.211961 0.058411
-8.800000 0.208809 0.046729
-8.900001 0.206052 0.046729
-9.000000 0.203294 0.046729
-9.100000 0.200536 0.046729
-9.200000 0.197778 0.046729
-9.300000 0.195414 0.046729
-9.400001 0.193050 0.035047
-9.500000 0.190686 0.035047
-9.600000 0.188322 0.035047
-9.700000 0.186353 0.035047
-9.800000 0.184383 0.035047
-9.900001 0.182413 0.035047
-10.000000 0.180443 0.035047
