          38   3.165432000000000E-004
  -1.382909993974701E-001   8.985283624036219E-002   9.512695696675514E-001
  -4.009050147880724E-001   7.580413574754034E-002   9.414137883426509E-001
  -7.323073373205266E-001   5.374233606440954E-002   9.245030115050561E-001
       -1.094055280017138   2.204040671219676E-002   8.989492453085447E-001
       -1.211089851549785   9.640893948497910E-003   8.890816885400004E-001
       -1.385813796864850  -1.111279369117918E-002   8.732132992090412E-001
       -1.616388492068245  -4.289286790752780E-002   8.510384204255191E-001
       -1.700503757717073  -5.577004309805451E-002   8.428303741299357E-001
       -1.834600664780210  -7.772430604574408E-002   8.297972737520865E-001
       -1.939569268428771  -9.612298667028758E-002   8.197113057752220E-001
       -2.099161135443061  -1.261049276173244E-001   8.046552476657526E-001
       -2.315666757625740  -1.705594936951260E-001   7.848426002828194E-001
       -2.315666757625740  -1.705594936951260E-001   7.848426002828194E-001
       -2.396241951918414  -1.881870633112606E-001   7.776569786407821E-001
       -2.465488752670832  -2.037957857298719E-001   7.715644337458354E-001
       -2.526222256696587  -2.178307343505291E-001   7.662845312487196E-001
       -2.629104977836006  -2.423314521558834E-001   7.574775337243088E-001
       -2.714321192887401  -2.633049564955871E-001   7.503149641165618E-001
       -2.787094068475188  -2.816953175012583E-001   7.442940067381765E-001
       -2.850622028697442  -2.981051405500256E-001   7.391103995529151E-001
       -2.907007055910092  -3.129440262165968E-001   7.345662443477815E-001
       -3.003766894874206  -3.390002714250224E-001   7.268917334650002E-001
       -3.084929673203389  -3.614238970065470E-001   7.205732534755590E-001
       -3.154858003931538  -3.811517543666601E-001   7.152147073752519E-001
       -3.216301878416989  -3.987932224837420E-001   7.105701724839663E-001
       -3.271107870935303  -4.147682336108379E-001   7.064769897996329E-001
       -3.320576652728008  -4.293791424736821E-001   7.028224147376774E-001
       -3.407073042808644  -4.553573524962137E-001   6.965266704607789E-001
       -3.480992627275886  -4.779857440356917E-001   6.912554304203966E-001
       -3.545542533578016  -4.980609800435112E-001   6.867676273140529E-001
       -3.602846033993920  -5.161212968436590E-001   6.829324490177102E-001
       -3.701254863745273  -5.476232933646856E-001   6.770736420359458E-001
       -3.982405960014676  -6.378332121882860E-001   7.010518754366860E-001
       -4.106649035838277  -6.710254637819503E-001   7.718390369335906E-001
       -4.178939779748790  -6.859404309342554E-001   8.183020599824782E-001
       -4.379395035908922  -7.136978253643492E-001   9.011346794841664E-001
       -4.530306951539624  -7.270694729105418E-001   9.302463303495099E-001
       -5.028680617499545  -7.544549511428930E-001   9.655155396015228E-001
