          88   2.500000118743628E-004
        3.909994790123878   2.396647728056595E-001   9.868463340213577E-001
        2.784994433909833   2.214587434484367E-001   9.821533632654377E-001
        1.666837178743944   1.963234849253469E-001   9.725174465520797E-001
        1.099039835695163   1.782223550137298E-001   9.632581972978433E-001
   4.978633157922095E-001   1.515760532578545E-001   9.466273187122891E-001
   1.633206708597081E-001   1.314909622531200E-001   9.326599032938753E-001
  -2.300657506272190E-001   1.009927542956848E-001   9.115724240992817E-001
  -3.641733438068276E-001   8.860502693907706E-002   9.036579375213918E-001
  -5.716616238255958E-001   6.733953603828902E-002   8.914133185049614E-001
  -7.309342383801951E-001   4.932312552275252E-002   8.824417372572426E-001
  -8.611090638516670E-001   3.356861901910922E-002   8.755827317411964E-001
       -1.068349867164193   6.737486076262645E-003   8.656908313371127E-001
       -1.154282787587741  -4.965910317739164E-003   8.619568426659837E-001
       -1.302599691219140  -2.589060677771259E-002   8.559721353515094E-001
       -1.537340934159878  -6.071527619732270E-002   8.475050089831448E-001
       -1.634120230843214  -7.562985621433388E-002   8.443042129817793E-001
       -1.800241989034463  -1.019303477244134E-001   8.391187478489487E-001
       -1.872801635143409  -1.136828521773402E-001   8.369566539394926E-001
       -2.002160864903229  -1.350172405468200E-001   8.332293038285444E-001
       -2.115042714384325  -1.540213098682279E-001   8.300885979280357E-001
       -2.215215289226280  -1.711788455091072E-001   8.273729160994794E-001
       -2.305265277887408  -1.868325470284467E-001   8.249790311115031E-001
       -2.461952886481497  -2.145781865177373E-001   8.208977562603631E-001
       -2.531030241146187  -2.270119166132949E-001   8.191247676717830E-001
       -2.654856367350670  -2.496053014852559E-001   8.159748367930706E-001
       -2.763395114949563  -2.697289565309903E-001   8.132333811078142E-001
       -2.859926795572139  -2.878760642658501E-001   8.108020588882576E-001
       -3.025634322187665  -3.195751039288703E-001   8.066226996310764E-001
       -3.097803531352988  -3.335976574070380E-001   8.047927511998089E-001
       -3.225852764021772  -3.588042295154960E-001   8.015186457224583E-001
       -3.283161209968483  -3.702218286848238E-001   8.000381317425177E-001
       -3.386976494788727  -3.911224316656964E-001   7.973249020207562E-001
       -3.478928239020468  -4.098717508827475E-001   7.948806145555044E-001
       -3.561300134536561  -4.268602189042147E-001   7.926510621405474E-001
