          99   2.500000118743628E-004
   6.189291052897163E-001   1.577844572321855E-001   9.507589379717795E-001
   3.534004387499184E-001   1.434719098385381E-001   9.410723982595306E-001
   7.503398290620843E-003   1.203987559626421E-001   9.248349544464649E-001
  -3.898922793693784E-001   8.610756042745876E-002   9.021283541306255E-001
  -5.250221077242312E-001   7.234064588255194E-002   8.941312816126110E-001
  -7.349058126012418E-001   4.885581155551839E-002   8.822255757892580E-001
  -8.969533919301524E-001   2.907660457495567E-002   8.737800303892223E-001
       -1.030000691894622   1.185496265961294E-002   8.674250964578341E-001
       -1.088778055238449   3.984539851787474E-003   8.647843576098062E-001
       -1.116589666605574   2.070608618861797E-004   8.635692958602186E-001
       -1.116589666605574   2.070608618861797E-004   8.635692958602186E-001
       -1.116593002336821   2.066057692416067E-004   8.635691514275935E-001
       -1.116599673758321   2.056955880996277E-004   8.635688625650488E-001
       -1.116613016433579   2.038752429190281E-004   8.635682848509447E-001
       -1.116639701104113   2.002346222024554E-004   8.635671294670666E-001
       -1.116693067742110   1.929536570598101E-004   8.635648188758920E-001
       -1.116799790195605   1.783928334341613E-004   8.635601984002447E-001
       -1.117013191832113   1.492756109761591E-004   8.635509602743719E-001
       -1.117439822137482   9.105885618127779E-005   8.635324953150449E-001
       -1.118292391839739  -2.530397198588090E-005   8.634956104899145E-001
       -1.119994775183409  -2.577475200488316E-004   8.634220206109622E-001
       -1.123388577893250  -7.215111077167002E-004   8.632755551467278E-001
       -1.130132802939497  -1.644583199120646E-003   8.629854436127832E-001
       -1.143451434103393  -3.473211751002921E-003   8.624162044416299E-001
       -1.169437508082708  -7.062739141152983E-003   8.613194415462112E-001
       -1.219007731992380  -1.398801602941525E-002   8.592768667602487E-001
       -1.309880945005223  -2.694032861662601E-002   8.556921670051402E-001
       -1.466205754269444  -4.995413598144607E-002   8.499572742303292E-001
       -1.534667091826243  -6.030764646916545E-002   8.475955844505860E-001
       -1.657057732213552  -7.920964939901891E-002   8.435664223287733E-001
       -1.764261681788482  -9.616131731549075E-002   8.402124701286200E-001
       -1.859746514463152  -1.115567667477623E-001   8.373415823045723E-001
       -2.024384521452082  -1.387305568980652E-001   8.326034372149198E-001
       -2.096507160929844  -1.508765312755118E-001   8.305980387503578E-001
       -2.225293858789288  -1.729200992241651E-001   8.271029187651646E-001
       -2.283324721189679  -1.829987064458001E-001   8.255586112374227E-001
       -2.389155608176596  -2.016080085769504E-001   8.227823319974568E-001
       -2.483735033863358  -2.184856827878001E-001   8.203372146724921E-001
       -2.569203788954721  -2.339354663760533E-001   8.181503087202100E-001
       -2.718733904849902  -2.614125064629716E-001   8.143599174514261E-001
       -2.784920815576147  -2.737552621169321E-001   8.126909295734969E-001
       -2.903876553729949  -2.962159816682574E-001   8.096952644951283E-001
       -2.957728755445876  -3.065013418501628E-001   8.083379111696776E-001
       -3.056224188029369  -3.255026224564672E-001   8.058481057641593E-001
       -3.144457667573449  -3.427330334904503E-001   8.036045113710291E-001
       -3.224277716688287  -3.584916283317561E-001   8.015591858524120E-001
       -3.297074762016020  -3.730066596150153E-001   7.996769761342326E-001
       -3.425662893283982  -3.989833641407847E-001   7.963017407306769E-001
       -3.482976913680470  -4.107024741471234E-001   7.947719682212206E-001
       -3.586434329611778  -4.320806767620001E-001   7.919622016306102E-001
       -3.633413669868768  -4.418851048322975E-001   7.906628069230356E-001
       -3.719489693348419  -4.600088449431836E-001   7.882380107838844E-001
       -3.796689844736040  -4.764434188554314E-001   7.860083099692194E-001
       -3.866540396481035  -4.914635359213437E-001   7.839396190228834E-001
       -3.988612455344285  -5.180668443194594E-001   7.801877378084455E-001
       -4.042476736304884  -5.299535430444537E-001   7.784686336623093E-001
       -4.138843666643415  -5.514552619017757E-001   7.752794332273009E-001
       -4.182232281850855  -5.612381996752730E-001   7.737902371424746E-001
       -4.261119757640634  -5.791938621164833E-001   7.709861378781139E-001
       -4.331192699348086  -5.953329315756508E-001   7.683778924621584E-001
       -4.394031736876893  -6.099647563606871E-001   7.659316616547845E-001
       -4.502541499084132  -6.356053900627687E-001   7.614281247700505E-001
       -4.549882087475076  -6.469491790803141E-001   7.593349622880837E-001
       -4.633735948430536  -6.672934240040207E-001   7.554011231314700E-001
       -4.705975390710645  -6.850942547889864E-001   7.517426662047580E-001
       -4.769081673445019  -7.008685700765559E-001   7.483053116099808E-001
       -4.824842236569429  -7.149934145512521E-001   7.450495732356046E-001
       -4.919318775615452  -7.393620355419943E-001   7.389712674753092E-001
       -4.959831182969578  -7.499946599157448E-001   7.361079821562013E-001
       -5.030556275314411  -7.688479567526680E-001   7.306605613807788E-001
       -5.090440124362768  -7.851287299419105E-001   7.255174974860126E-001
       -5.141972938452009  -7.993980438294006E-001   7.206193191586701E-001
       -5.226530957886465  -8.234007010928170E-001   7.113974856396184E-001
       -5.261792502272728  -8.336536058034815E-001   7.070178129552590E-001
       -5.322009057193871  -8.515426212798949E-001   6.986250598972836E-001
       -5.371736445940570  -8.667235801625292E-001   6.906349307272776E-001
       -5.449613003610152  -8.913790045094575E-001   6.755919084524080E-001
       -5.480863523016922  -9.016266563954719E-001   6.684509525414957E-001
       -5.532756525651233  -9.191755856350780E-001   6.547888637534325E-001
       -5.574356491357258  -9.337988853138603E-001   6.418329458179975E-001
       -5.637592181537880  -9.571795886196555E-001   6.176744437122527E-001
       -5.662428456312072  -9.668132665638711E-001   6.063539335688520E-001
       -5.703162343328187  -9.832697185128190E-001   5.850345013888464E-001
       -5.735505014274166  -9.970027390177989E-001   5.652950750143463E-001
       -5.784526234284380       -1.019151407509130   5.299143887353194E-001
       -5.803866225761057       -1.028394704381412   5.140232985307293E-001
       -5.835896485182900       -1.044412396775772   4.853357124572348E-001
       -5.861777226361974       -1.058053873215217   4.602239312956752E-001
       -5.902212977068872       -1.080714507193516   4.186065150499134E-001
       -5.918715238150622       -1.090451873972129   4.012629482304534E-001
       -5.946943767139947       -1.107769396776648   3.719133744716727E-001
       -5.970737065121131       -1.122998954208859   3.481290889987900E-001
       -6.010065359427939       -1.149359284511016   3.121408130194166E-001
       -6.026982268212585       -1.161114742751501   2.982394152335385E-001
       -6.057219556574013       -1.182679460475262   2.759378809524710E-001
       -6.070987512380326       -1.192711643597332   2.668460158259175E-001
       -6.096545902963288       -1.211648922472227   2.516140865755161E-001
       -6.120083807115462       -1.229412238748329   2.393057091213669E-001
       -6.142103245466892       -1.246276840180889   2.290979484687751E-001
