          65   2.500000118743628E-004
   6.190421459090775E-001   1.577900250543805E-001   9.507625851899545E-001
   3.534799969162562E-001   1.434765982779570E-001   9.410756535192522E-001
   7.551791527796886E-003   1.204023934303102E-001   9.248375061563715E-001
  -3.898656275170959E-001   8.611016884806957E-002   9.021299394157791E-001
  -5.250002795962746E-001   7.234295675776846E-002   8.941325607378998E-001
  -7.348896413639822E-001   4.885771607916024E-002   8.822264551100070E-001
  -8.969404312358267E-001   2.907824044775971E-002   8.737806752912277E-001
       -1.029989810604728   1.185640522838131E-002   8.674255946389107E-001
       -1.088767964342981   3.985904285360532E-003   8.647848024378658E-001
       -1.116579925817837   2.083897929072783E-004   8.635697176254228E-001
       -1.116579925817837   2.083897929072783E-004   8.635697176254228E-001
       -1.116583261592012   2.079346958129740E-004   8.635695731900331E-001
       -1.116589933095105   2.070245063533887E-004   8.635692843221440E-001
       -1.116603275933734   2.052041445120299E-004   8.635687065973431E-001
       -1.116629960934988   2.015634899300101E-004   8.635675511918998E-001
       -1.116683328229600   1.942824577111978E-004   8.635652405578065E-001
       -1.116790051998445   1.797214996275531E-004   8.635606199962403E-001
       -1.117003456262777   1.506040085822309E-004   8.635513816986967E-001
       -1.117430091823822   9.238671635339170E-005   8.635329163961957E-001
       -1.118282672015471  -2.397718470453854E-005   8.634960308863415E-001
       -1.119985076264449  -2.564228725792974E-004   8.634224396438042E-001
       -1.123378920491944  -7.201907159450409E-004   8.632759714757066E-001
       -1.130123227418142  -1.643271223925654E-003   8.629858546257413E-001
       -1.143442017882703  -3.471916241356673E-003   8.624166051761074E-001
       -1.169428393751506  -7.061475168628497E-003   8.613198230425275E-001
       -1.218999162517431  -1.398681011076736E-002   8.592772143844183E-001
       -1.309873278579518  -2.693922228986015E-002   8.556924611431804E-001
       -1.466199396750176  -4.995318206817948E-002   8.499574974841713E-001
       -1.534661226143007  -6.030675249245250E-002   8.475957832850632E-001
       -1.657052643684514  -7.920885334352080E-002   8.435665851766682E-001
       -1.764257181857430  -9.616059821630887E-002   8.402126078764343E-001
       -1.859742477385988  -1.115561099733031E-001   8.373417016246035E-001
       -2.024381168842184  -1.387299954009997E-001   8.326035313869085E-001
       -2.096504069625948  -1.508760071662545E-001   8.305981239819639E-001
       -2.225291185511326  -1.729196360405957E-001   8.271029904689455E-001
       -2.283322218664562  -1.829982684727884E-001   8.255586777042755E-001
       -2.389153394134810  -2.016076133362928E-001   8.227823900502365E-001
       -2.483733058794126  -2.184853225071081E-001   8.203372662646307E-001
       -2.569202022312705  -2.339351353539889E-001   8.181503551973733E-001
       -2.718732522844979  -2.614122221690583E-001   8.143599563464399E-001
       -2.784919637836253  -2.737549971173690E-001   8.126909655813446E-001
       -2.903875888203253  -2.962157503628465E-001   8.096952959171458E-001
       -2.957728438224773  -3.065011259818646E-001   8.083379407404798E-001
       -3.056224885929625  -3.255024370331033E-001   8.058481322646125E-001
       -3.144460055565079  -3.427328812673603E-001   8.036045354285545E-001
       -3.224282885669866  -3.584915166979661E-001   8.015592079198427E-001
       -3.297084390043024  -3.730066017942216E-001   7.996769965490711E-001
       -3.425689985834080  -3.989834860198664E-001   7.963017585589390E-001
       -3.483019530765993  -4.107027442648242E-001   7.947719850182641E-001
       -3.586530917159015  -4.320814407701640E-001   7.919622167332206E-001
       -3.633554002395687  -4.418862594848774E-001   7.906628213210639E-001
       -3.719769349370913  -4.600112218128061E-001   7.882380239859696E-001
       -3.797212311245158  -4.764478906916874E-001   7.860083221944845E-001
       -3.867465535463694  -4.914714381074700E-001   7.839396304352537E-001
       -3.991159955305599  -5.180883500989770E-001   7.801877479454997E-001
       -4.046484279228149  -5.299871527587626E-001   7.784686432899977E-001
       -4.147947086325045  -5.515306659421193E-001   7.752794420171393E-001
       -4.195461507531199  -5.613471566645957E-001   7.737902455836900E-001
       -4.287418056747021  -5.794082278489860E-001   7.709861457275017E-001
       -4.380040019891307  -5.957274525416234E-001   7.683778998283362E-001
       -4.479844463524746  -6.106520494015517E-001   7.659316686192439E-001
       -4.734962512647884  -6.374383240867662E-001   7.614281311058287E-001
       -4.913433188950733  -6.497943810023469E-001   7.593349683736692E-001
       -5.461053790999704  -6.736621808226598E-001   7.554011288073721E-001
       -5.886985860069911  -6.857478600242410E-001   7.535412929192720E-001
