         113   2.500000118743628E-004
   7.630772829353126E-001   9.323033251852221E-002   9.352360029227504E-001
   3.041697269977974E-001   5.240267334885045E-002   8.755917219784977E-001
   2.047924337062698E-001   3.880429336765445E-002   8.494235700534843E-001
   8.193428367704039E-002   1.768065848561173E-002   8.038690760096749E-001
   5.572696730552598E-003   1.311931754569569E-003   7.661072106425955E-001
  -9.009520171396738E-002  -2.375022003498462E-002   7.081431226567729E-001
  -1.236308488585606E-001  -3.391309341179796E-002   6.856274623315726E-001
  -1.382407724308342E-001  -3.857916624703868E-002   6.756019280403723E-001
  -1.451065849545357E-001  -4.082269236339463E-002   6.708598487667042E-001
  -1.484396083822917E-001  -4.192356878458414E-002   6.685523539271472E-001
  -1.500822592141957E-001  -4.246895639578511E-002   6.674140074795896E-001
  -1.508977510051721E-001  -4.274040806451299E-002   6.668486256614001E-001
  -1.513040545224895E-001  -4.287582587689827E-002   6.665668753594810E-001
  -1.515068476644997E-001  -4.294345808845680E-002   6.664262344615984E-001
  -1.516081548270002E-001  -4.297725505923918E-002   6.663559724640097E-001
  -1.516081548270002E-001  -4.297725505923918E-002   6.663559724640097E-001
  -1.516587860867337E-001  -4.299414876570175E-002   6.663208560640901E-001
  -1.517600040068104E-001  -4.302792662764559E-002   6.662506524420757E-001
  -1.519622616933408E-001  -4.309544418605630E-002   6.661103617978920E-001
  -1.523660663972010E-001  -4.323032694778110E-002   6.658302460189497E-001
  -1.531708485917845E-001  -4.349948549304666E-002   6.652718694058694E-001
  -1.547692262803927E-001  -4.403539401402246E-002   6.641624796406908E-001
  -1.579221878153152E-001  -4.509772848053399E-002   6.619727101160068E-001
  -1.640601911402243E-001  -4.718563413880916E-002   6.577057648398460E-001
  -1.757172513434713E-001  -5.122304403175824E-002   6.495962628459532E-001
  -1.969075146265163E-001  -5.880415979730196E-002   6.348896817053850E-001
  -2.328228120681725E-001  -7.236003275115878E-002   6.103404994330625E-001
  -2.881580119567768E-001  -9.492948135226606E-002   5.743954249743790E-001
  -3.105350187796075E-001  -1.046069433549185E-001   5.607531254790700E-001
