         123   2.500000118743628E-004
   8.021202373327155E-001   1.773103796950957E-001   9.654163074561263E-001
   4.443857483149978E-001   1.637611532408594E-001   9.585538129348721E-001
  -1.696018295064424E-002   1.420349929949054E-001   9.466189422126443E-001
  -5.325164853426867E-001   1.100688718483691E-001   9.285776940823840E-001
  -7.024780215521916E-001   9.735169904544042E-002   9.217211814773469E-001
  -9.600324251267592E-001   7.580534384640165E-002   9.109189471054130E-001
       -1.153416896603258   5.779001914454448E-002   9.027869483683963E-001
       -1.439020855818091   2.835717928788638E-002   8.912282108416750E-001
       -1.551402061728007   1.588906742703188E-002   8.869085866071816E-001
       -1.739034831205835  -5.982987157174518E-003   8.800271846975963E-001
       -2.023422317854312  -4.149619160972632E-002   8.703748165991367E-001
       -2.137240445132085  -5.645745568341897E-002   8.667533632656099E-001
       -2.329073711626807  -8.258339242043622E-002   8.609244551292857E-001
       -2.411705570288253  -9.417581833129528E-002   8.585099953986336E-001
       -2.557621995822872  -1.151256689533563E-001   8.543729711729451E-001
       -2.683758134742003  -1.337140653689278E-001   8.509149910897214E-001
       -2.894495678815241  -1.657231593805121E-001   8.453519181244818E-001
       -2.984614533551188  -1.797644071830559E-001   8.430456477621499E-001
       -3.142867735753325  -2.049181143397159E-001   8.390885319789722E-001
       -3.213222371278333  -2.163000271885824E-001   8.373640900814434E-001
       -3.340262089024237  -2.371570530898890E-001   8.342993670348006E-001
       -3.452631832754717  -2.559272320293347E-001   8.316368591606522E-001
       -3.644793367090978  -2.887112370535065E-001   8.271767094889034E-001
       -3.728398356437412  -3.032403559534819E-001   8.252688727094509E-001
       -3.876926421866642  -3.294426294393868E-001   8.219224029670713E-001
       -3.943567670064129  -3.413597714066282E-001   8.204371185397918E-001
       -4.064710007906993  -3.632754004539226E-001   8.177600563109326E-001
       -4.172609803602604  -3.830671323613784E-001   8.153980190051816E-001
       -4.269880306903423  -4.011267885873278E-001   8.132845760633731E-001
       -4.439681390450192  -4.331431440273004E-001   8.096259363284447E-001
       -4.514749447062111  -4.474948379701627E-001   8.080189687428319E-001
       -4.649634841251608  -4.735849067758503E-001   8.051444130758387E-001
       -4.710718876059127  -4.855273751013284E-001   8.038471345950315E-001
